origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
ZURICH,72315,ACURA,ADX,2025,ADX A-SPEC SUV AUT AA EE CD BA QC VP 190HP ABS 1.5L 4CIL 5P 5OCUP,,1
ZURICH,72316,ACURA,ADX,2025,ADX ADVANCE SUV AUT AA EE CD BA QC VP 190HP ABS 1.5L 4CIL 5P 5OCUP,,1
ZURICH,32380,ACURA,ILX,2013,PREMIUM SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32381,ACURA,ILX,2013,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32382,ACURA,ILX,2014,PREMIUM SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32383,ACURA,ILX,2014,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32384,ACURA,ILX,2014,LUXURY SEDAN AUT AA EE CD BA QC 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32385,ACURA,ILX,2015,PREMIUM SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32386,ACURA,ILX,2015,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32387,ACURA,ILX,2016,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32388,ACURA,ILX,2016,A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32389,ACURA,ILX,2017,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32390,ACURA,ILX,2017,A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32391,ACURA,ILX,2018,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32392,ACURA,ILX,2018,A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,55529,ACURA,ILX,2019,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,55530,ACURA,ILX,2019,A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,55531,ACURA,ILX,2020,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,55532,ACURA,ILX,2020,A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,69744,ACURA,INTEGRA,2023,A-SPEC SEDAN CVT AA EE CD BA QC VP 200HP ABS 1.5L 4CIL 4P 5OCUP,AUTO,1
ZURICH,70566,ACURA,INTEGRA,2024,TYPE S SEDAN STD AA EE MP3 USB BA QC VP 315HP ABS 2L 4CIL 4P 5OCUP,MANUAL,1
ZURICH,70567,ACURA,INTEGRA,2024,A-SPEC SEDAN CVT AA EE CD BA QC VP 200HP ABS 1.5L 4CIL 4P 5OCUP,AUTO,1
ZURICH,72313,ACURA,INTEGRA,2025,INTEGRA TYPE S SEDAN STD AA EE MP3 USB BA QC VP 315HP ABS 2L 4CIL 4P 5OCUP,,1
ZURICH,72314,ACURA,INTEGRA,2025,INTEGRA A-SPEC SEDAN CVT AA EE CD BA QC VP 200HP ABS 1.5L 4CIL 4P 5OCUP,,1
ZURICH,32364,ACURA,MDX,2005,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32365,ACURA,MDX,2006,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32366,ACURA,MDX,2007,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32367,ACURA,MDX,2008,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32368,ACURA,MDX,2009,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32369,ACURA,MDX,2010,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32370,ACURA,MDX,2011,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32371,ACURA,MDX,2012,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32372,ACURA,MDX,2013,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32373,ACURA,MDX,2014,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32374,ACURA,MDX,2014,TECH SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32375,ACURA,MDX,2014,SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32376,ACURA,MDX,2015,SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32377,ACURA,MDX,2016,SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32378,ACURA,MDX,2017,SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32379,ACURA,MDX,2018,SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,55525,ACURA,MDX,2019,TECH SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,55526,ACURA,MDX,2019,A SPEC SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,55527,ACURA,MDX,2020,TECH SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,55528,ACURA,MDX,2020,A SPEC SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,69118,ACURA,MDX,2022,TYPE S SUV AUT AA EE CD BA QC VP 350HP ABS 3L 6CIL 5P 7OCUP,AUTO,1
ZURICH,67693,ACURA,MDX,2022,ADVANCE SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,69741,ACURA,MDX,2023,ADVANCE SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,69742,ACURA,MDX,2023,TYPE S SUV AUT AA EE CD BA QC VP 350HP ABS 3L 6CIL 5P 7OCUP,AUTO,1
ZURICH,70556,ACURA,MDX,2024,ADVANCE SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,70557,ACURA,MDX,2024,TYPE S SUV AUT AA EE CD BA QC VP 350HP ABS 3L 6CIL 5P 7OCUP,AUTO,1
ZURICH,70558,ACURA,MDX,2025,ADVANCE SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,70559,ACURA,MDX,2025,TYPE S SUV AUT AA EE CD BA QC VP 350HP ABS 3L 6CIL 5P 7OCUP,AUTO,1
ZURICH,55537,ACURA,NSX,2017,HIBRIDO COUPE AUT AA EE CD BA VP 500HP ABS 3.5L 6CIL 2P 2OCUP,AUTO,1
ZURICH,60633,ACURA,NSX,2017,HIBRIDO EXCLUSIVE COUPE AUT AA EE CD BA VP 500HP ABS 3.5L 6CIL 2P 2OC,AUTO,1
ZURICH,60635,ACURA,NSX,2018,HIBRIDO EXCLUSIVE COUPE AUT AA EE CD BA VP 500HP ABS 3.5L 6CIL 2P 2OC,AUTO,1
ZURICH,69743,ACURA,NSX,2018,HIBRIDO COUPE AUT AA EE CD BA VP 500HP ABS 3.5L 6CIL 2P 2OCUP,AUTO,1
ZURICH,72311,ACURA,NSX,2019,NSX HIBRIDO EXCLUSIVE COUPE AUT AA EE CD BA VP 500HP ABS 3.5L 6CIL 2P 2OCUP,,1
ZURICH,60636,ACURA,NSX,2019,HIBRIDO COUPE AUT AA EE CD BA VP 500HP ABS 3.5L 6CIL 2P 2OCUP,AUTO,1
ZURICH,72312,ACURA,NSX,2020,NSX HIBRIDO COUPE AUT AA EE CD BA VP 500HP ABS 3.5L 6CIL 2P 2OCUP,,1
ZURICH,32351,ACURA,RDX,2007,TUR AWD R18 SUV AUT AA EE CD BA QC VP 240HP ABS 2.3L 4CIL 5P 5OCUP,AUTO,1
ZURICH,32352,ACURA,RDX,2008,TUR AWD R18 SUV AUT AA EE CD BA QC VP 240HP ABS 2.3L 4CIL 5P 5OCUP,AUTO,1
ZURICH,32353,ACURA,RDX,2009,TUR AWD R18 SUV AUT AA EE CD BA QC VP 240HP ABS 2.3L 4CIL 5P 5OCUP,AUTO,1
ZURICH,32354,ACURA,RDX,2010,TUR AWD R18 SUV AUT AA EE CD BA QC VP 240HP ABS 2.3L 4CIL 5P 5OCUP,AUTO,1
ZURICH,32355,ACURA,RDX,2011,TUR AWD R18 SUV AUT AA EE CD BA QC VP 240HP ABS 2.3L 4CIL 5P 5OCUP,AUTO,1
ZURICH,32356,ACURA,RDX,2012,TUR AWD R18 SUV AUT AA EE CD BA QC VP 240HP ABS 2.3L 4CIL 5P 5OCUP,AUTO,1
ZURICH,32357,ACURA,RDX,2013,AWD GPS DVD BT SUV AUT AA EE AM BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,60628,ACURA,RDX,2013,AWD GPS DVD BT SUV AUT AA EE CD BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,32358,ACURA,RDX,2014,AWD GPS DVD BT SUV AUT AA EE AM BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,60629,ACURA,RDX,2014,AWD GPS DVD BT SUV AUT AA EE CD BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,32359,ACURA,RDX,2015,AWD GPS DVD BT SUV AUT AA EE AM BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,60630,ACURA,RDX,2015,AWD GPS DVD BT SUV AUT AA EE CD BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,32360,ACURA,RDX,2016,AWD GPS DVD BT SUV AUT AA EE AM BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,60631,ACURA,RDX,2016,AWD GPS DVD BT SUV AUT AA EE CD BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,32361,ACURA,RDX,2017,AWD GPS DVD BT SUV AUT AA EE AM BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,60632,ACURA,RDX,2017,AWD GPS DVD BT SUV AUT AA EE CD BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,32362,ACURA,RDX,2018,AWD GPS DVD BT SUV AUT AA EE AM BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,60634,ACURA,RDX,2018,AWD GPS DVD BT SUV AUT AA EE CD BA QC VP 273HP ABS 3.5L 6CIL 5P 5OCUP,AUTO,1
ZURICH,32363,ACURA,RDX,2019,TECH SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,55522,ACURA,RDX,2019,A-SPEC SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,55523,ACURA,RDX,2020,TECH SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,55524,ACURA,RDX,2020,A-SPEC SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,59612,ACURA,RDX,2021,TECH SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,59613,ACURA,RDX,2021,A-SPEC SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,68642,ACURA,RDX,2022,A-SPEC SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,68643,ACURA,RDX,2022,ADVANCE SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,70552,ACURA,RDX,2023,A-SPEC SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,70553,ACURA,RDX,2023,ADVANCE SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,70554,ACURA,RDX,2024,A-SPEC SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,70555,ACURA,RDX,2024,ADVANCE SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,AUTO,1
ZURICH,72309,ACURA,RDX,2025,RDX A-SPEC SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,,1
ZURICH,72310,ACURA,RDX,2025,RDX ADVANCE SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5P 5OCUP,,1
ZURICH,32333,ACURA,RL,2005,AWD R17 SEDAN AUT 303HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32334,ACURA,RL,2006,AWD R17 SEDAN AUT 303HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32335,ACURA,RL,2007,AWD R17 SEDAN AUT 303HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32336,ACURA,RL,2008,AWD R17 SEDAN AUT 303HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32337,ACURA,RL,2009,AWD R17 SEDAN AUT 303HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32338,ACURA,RL,2010,AWD R17 SEDAN AUT 303HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32339,ACURA,RL,2011,AWD R17 SEDAN AUT 303HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32393,ACURA,RLX,2014,GPS SEDAN AUT AA EE CD BA QC VP 310HP ABS 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32394,ACURA,RLX,2015,GPS SEDAN AUT AA EE CD BA QC VP 310HP ABS 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32319,ACURA,TL,2005,R17 SEDAN AUT 270HP 3.2L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32320,ACURA,TL,2006,R17 SEDAN AUT 270HP 3.2L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32321,ACURA,TL,2007,R17 SEDAN AUT 270HP 3.2L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32322,ACURA,TL,2008,R17 SEDAN AUT 270HP 3.2L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32323,ACURA,TL,2009,R17 SEDAN AUT 280HP 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32324,ACURA,TL,2009,AWD R18 SEDAN AUT 305HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32325,ACURA,TL,2010,R17 SEDAN AUT 280HP 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32326,ACURA,TL,2010,AWD R18 SEDAN AUT 305HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32327,ACURA,TL,2011,R17 SEDAN AUT 280HP 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32328,ACURA,TL,2011,AWD R18 SEDAN AUT 305HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32329,ACURA,TL,2012,R17 SEDAN AUT 280HP 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32330,ACURA,TL,2012,AWD R18 SEDAN AUT 305HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32331,ACURA,TL,2013,R17 SEDAN AUT 280HP 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32332,ACURA,TL,2013,AWD R18 SEDAN AUT 305HP 3.7L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32395,ACURA,TLX,2015,TECH GPS SEDAN AUT AA EE CD BA QC VP 206HP ABS 2.4L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32396,ACURA,TLX,2015,ADVANCE GPS SEDAN AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32397,ACURA,TLX,2016,TECH GPS SEDAN AUT AA EE CD BA QC VP 206HP ABS 2.4L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32398,ACURA,TLX,2016,ADVANCE GPS SEDAN AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32399,ACURA,TLX,2017,TECH GPS SEDAN AUT AA EE CD BA QC VP 206HP ABS 2.4L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32400,ACURA,TLX,2017,ADVANCE GPS SEDAN AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32401,ACURA,TLX,2018,ADVANCE GPS SEDAN AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32402,ACURA,TLX,2018,A-SPEC SEDAN AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,55533,ACURA,TLX,2019,ADVANCE GPS SEDAN AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,55534,ACURA,TLX,2019,TECH A-SPEC SEDAN AUT AA EE CD BA QC VP 206HP ABS 2.4L 4CIL 4P 5OCUP,AUTO,1
ZURICH,55535,ACURA,TLX,2019,1 MILLION EDITION DCT SEDAN AUT AA EE CD BA QC VP 206HP ABS 2.4L 4CIL 4P 5OCUP,AUTO,1
ZURICH,60637,ACURA,TLX,2019,1 MILLION EDITION DCT SEDAN AUT AA EE CD BA QC VP 206HP ABS 2.4L 4CIL,AUTO,1
ZURICH,55536,ACURA,TLX,2020,ADVANCE GPS SEDAN AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,59614,ACURA,TLX,2021,ADVANCE SEDAN AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,68644,ACURA,TLX,2022,ADVANCE SEDAN AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,68645,ACURA,TLX,2022,TYPE S SEDAN AUT AA EE CD BA QC VP 355HP ABS 3L 6CIL 4P 5OCUP,AUTO,1
ZURICH,70560,ACURA,TLX,2023,ADVANCE SEDAN AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,70561,ACURA,TLX,2023,TYPE S SEDAN AUT AA EE CD BA QC VP 355HP ABS 3L 6CIL 4P 5OCUP,AUTO,1
ZURICH,70562,ACURA,TLX,2024,ADVANCE SEDAN AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,70563,ACURA,TLX,2024,TYPE S SEDAN AUT AA EE CD BA QC VP 355HP ABS 3L 6CIL 4P 5OCUP,AUTO,1
ZURICH,70564,ACURA,TLX,2025,ADVANCE SEDAN AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,70565,ACURA,TLX,2025,TYPE S SEDAN AUT AA EE CD BA QC VP 355HP ABS 3L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32340,ACURA,TSX,2009,R17 SEDAN AUT QC VP 204HP 2.4L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32341,ACURA,TSX,2010,R17 SEDAN AUT QC VP 204HP 2.4L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32342,ACURA,TSX,2010,R18 SEDAN AUT 280HP 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32343,ACURA,TSX,2011,R17 SEDAN AUT QC VP 204HP 2.4L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32344,ACURA,TSX,2011,R18 SEDAN AUT 280HP 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32345,ACURA,TSX,2012,R17 SEDAN AUT QC VP 204HP 2.4L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32346,ACURA,TSX,2012,R18 SEDAN AUT 280HP 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32347,ACURA,TSX,2013,R17 SEDAN AUT QC VP 204HP 2.4L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32348,ACURA,TSX,2013,R18 SEDAN AUT 280HP 3.5L 6CIL 4P 5OCUP,AUTO,1
ZURICH,32349,ACURA,ZDX,2010,AWD R18 SUV AUT QC 304HP 3.7L 6CIL 5P 5OCUP,AUTO,1
ZURICH,32350,ACURA,ZDX,2011,AWD R18 SUV AUT QC 304HP 3.7L 6CIL 5P 5OCUP,AUTO,1
ZURICH,32466,ALFA ROMEO,4C,2016,COMPETIZIONE COUPE AUT AA EE CD BA VP 237HP ABS 1.8L IL 2P 2OCUP,AUTO,1
ZURICH,32467,ALFA ROMEO,4C,2016,SPECIALE COUPE AUT AA EE CD BA VP 237HP ABS 1.7L IL 2P 2OCUP,AUTO,1
ZURICH,32468,ALFA ROMEO,4C,2017,COMPETIZIONE COUPE AUT AA EE CD BA VP 237HP ABS 1.8L IL 2P 2OCUP,AUTO,1
ZURICH,32403,ALFA ROMEO,ALFA ROMEO 147,2002,HB SELESPEED VP 150HP 2L 4CIL 3P 5OCUP,AUTO,1
